A,B,C,E,ehomo,elumo,egap,R2,mu,alpha,zpve,U0,U,H,G,Cv,U0-ref,U-ref,H-ref,G-ref,f_name
0.34991,0.1334,0.11647,-20324.573082782565,0.8038243431598083,-6.46270418078722,197.73231272219812,10239.8781,0.6041,202.37,14.675263751257399,-20309.897808554924,-20309.224598864683,-20309.198911316274,-20311.55231524798,89.895,-225.45422451382183,-226.97730021238385,-228.41683695585016,-208.57162755105674,19_3029
0.62146,0.0684,0.06324,-20324.770627757847,0.7880417392656753,-6.443384096709919,196.7771199293145,17111.6193,0.5319,204.26,14.6677806201007,-20310.10284634862,-20309.425146779682,-20309.399459231274,-20311.762169456997,90.073,-225.65926230751575,-227.17784812738319,-228.6173848708495,-208.7814817600738,19_3236
0.52153,0.08408,0.07837,-20760.977510209195,1.320840677622786,-5.339418165701341,181.23487440789847,14050.8957,1.5327,198.42,14.375258220338752,-20746.6022406145,-20745.935044640566,-20745.909357092158,-20748.2408830695,89.778,-220.30191183842544,-221.7924699306859,-223.20629191436092,-203.68002716515912,19_3361
0.61887,0.09187,0.08568,-20324.254904263547,0.7755245016944665,-6.729103649965776,204.21133360416047,12925.7855,0.4221,200.81,14.688978289813681,-20309.565911279587,-20308.898089443777,-20308.87240189537,-20311.219057403338,89.276,-225.122327238485,-226.65079079147836,-228.09032753494466,-208.23836970641423,19_4128
0.83496,0.06138,0.0587,-20760.62025739157,0.7406939275832763,-6.221611300611327,189.4539751838736,18075.6886,1.2622,201.23,14.382305969319063,-20746.237961789786,-20745.567092278743,-20745.54140473034,-20747.897992394206,88.863,-219.9376330137129,-221.42451756886294,-222.83833955254158,-203.33713648986668,19_4131
0.47348,0.15633,0.13508,-29028.060371370393,0.42504184970061637,-5.394113051610319,158.34727035516053,8652.4595,0.6094,208.36,14.378795700521918,-29013.681564513205,-29012.98808234037,-29012.962367580578,-29015.14248940608,98.07,-217.51222775286078,-219.01503096620945,-220.45456770988312,-200.37879623186382,19_6171
0.65667,0.13336,0.12083,-21666.639978182062,1.8672453089920802,-5.717112203719558,206.38088002520618,9460.9709,1.2336,194.48,14.330685970030837,-21652.30930562725,-21651.61968747123,-21651.593999922825,-21653.849660555927,93.87,-215.06924394010275,-216.53737985027328,-217.9512018339483,-198.32240458220622,19_6175
0.34136,0.26087,0.21101,-21666.395122647486,1.7804409875743488,-5.162816270403197,188.93565351331662,6496.2905,0.9499,193.33,14.317978252757458,-21652.077138081684,-21651.386513104386,-21651.360825555977,-21653.619234539074,92.531,-214.8370763945386,-216.30420548342954,-217.7180274671009,-198.0919785653532,19_6222
0.36422,0.25287,0.19737,-19947.48396854261,-0.8612403676712231,-6.305150255706134,148.13633344518783,6645.0667,0.6947,206.74,14.192397706255004,-19933.291572904418,-19932.589818470235,-19932.564103710443,-19934.808879789136,94.975,-221.4316741601724,-222.88767379957062,-224.301495783453,-204.71555645688568,19_6243
0.34986,0.30713,0.20953,-20855.02169968657,1.0786593420059176,-5.131251062614931,168.98026919687248,6190.1904,0.5718,197.98,14.247038169391931,-20840.774643448818,-20840.08790969972,-20840.062222151315,-20842.22356812046,95.252,-217.97501179350002,-219.44603211798312,-220.85988131325212,-201.16384471882702,19_6260
0.33205,0.23012,0.17214,-20855.41664832841,1.4813878551665527,-5.237375468109963,182.8268623960378,7386.0111,0.9939,200.74,14.285297378142193,-20841.131357508213,-20840.434827660145,-20840.409140111737,-20842.67965816161,92.545,-218.33172585289503,-219.79295007840847,-221.20679927367382,-201.61993475997951,19_6261
0.55826,0.12165,0.11265,-19947.378486189766,-1.1760761039731522,-6.803662847672541,153.13443526841593,10341.8484,1.3946,210.89,14.213350473493767,-19933.165148804947,-19932.47308162419,-19932.44739407578,-19934.710347360342,93.955,-221.30525006070093,-222.77093695352596,-224.18478614879132,-204.6170240280917,19_6566
0.57272,0.08658,0.0807,-21667.000832725953,1.8364964427845452,-6.026777776676857,213.97059020121924,13829.566,2.9228,195.52,14.375775236673215,-21652.625039339284,-21651.939775005034,-21651.914060245243,-21654.276688836806,91.282,-215.38497765213833,-216.8574673840776,-218.271262156366,-198.74943286308553,19_6591
0.45905,0.09357,0.0849,-20959.50202025892,0.6987883931057508,-7.104620777102043,212.34157923661155,13297.7998,1.7074,197.03,14.240806761992355,-20945.261195619045,-20944.562978665042,-20944.537291116638,-20946.964873286644,91.412,-220.7474438585923,-222.2069809781715,-223.62083017344048,-204.20664911545828,19_6607
0.5577,0.06402,0.05971,-20761.200647465823,0.06666789575969974,-6.954413926247537,191.05336776730664,17892.9268,2.0254,201.28,14.371366992137267,-20746.829292419483,-20746.155456867364,-20746.129769318955,-20748.516044604978,88.342,-220.52896364340995,-222.01288215748355,-223.42670414115855,-203.95518870063825,19_6886
0.64814,0.05641,0.05342,-31794.587854408568,0.689536521857466,-7.793613071239022,230.83825828020244,19397.8949,2.6637,203.85,14.327257335391769,-31780.260596528948,-31779.58640722881,-31779.560719680398,-31781.941443843672,88.92,-218.3349640147062,-219.81852877814526,-221.23235076340643,-201.7378417014188,19_6890
0.48501,0.07678,0.07008,-21988.344087803584,1.915681576115454,-8.045318391964418,271.05261532013117,15244.9852,1.9817,193.7,14.362713771381518,-21973.98138565146,-21973.31187670972,-21973.28618916131,-21975.648736118717,88.142,-219.60271527453006,-221.0909603989785,-222.50478238264986,-203.0155795412138,19_6891
0.49512,0.08286,0.07379,-20794.213927066467,1.9379949126554352,-6.201474874953295,221.48625442429562,14761.6446,1.621,201.25,15.033937030444584,-20779.180011288114,-20778.49839327959,-20778.472705731183,-20780.851878845453,90.6,-225.6534390709021,-227.20663777379377,-228.67188927705865,-208.48495928657212,19_6892
0.88961,0.06381,0.06232,-20794.15532372755,1.9028922246840014,-5.670580733617889,206.08469621345932,17445.9161,1.0762,200.79,15.033746550742414,-20779.121561230935,-20778.44372560507,-20778.41803805666,-20780.781863949214,90.266,-225.59498901372353,-227.15197009927215,-228.61722160253703,-208.4149443903334,19_6898
0.6629,0.0705,0.06578,-21229.654302461277,1.9907850015427075,-6.067866969573651,219.2870896220752,16338.0588,1.9849,198.58,14.714529781290564,-21214.939772870468,-21214.25886235798,-21214.23317480957,-21216.60255182487,90.002,-219.55645591828943,-221.07183079460447,-222.51136753807077,-202.65546405857094,19_6899
0.53376,0.0643,0.05888,-21769.940145949426,2.113508352512604,-6.373722948487539,230.94932720960753,17944.0641,0.7693,196.09,14.359720518918838,-21755.58040681792,-21754.900639183645,-21754.874951635236,-21757.25559416435,89.499,-216.62622502564045,-218.10421145755754,-219.5180334412289,-200.02983742107608,19_6900
0.59039,0.08125,0.07617,-21334.45936749682,1.9828936995956412,-6.776723575508418,238.36132709857247,14458.2344,1.0928,197.18,14.685549655174613,-21319.773814440225,-21319.09486314753,-21319.06917559912,-21321.44500171291,89.408,-222.67637738291523,-224.19371147901984,-225.63324822248615,-205.79941317705016,19_6901
0.68432,0.06977,0.06868,-21665.41107479124,1.9793562194124732,-6.267326429132264,224.40366497000213,15903.0615,2.339,194.59,14.40246960636312,-21651.00860137528,-21650.32994940783,-21650.30423464804,-21652.673666086113,89.396,-213.7685396881352,-215.24764178687474,-216.66143655916312,-197.1464101123929,19_6912
0.75955,0.09652,0.09534,-21666.314152773768,1.8114619676421275,-5.209619854365109,191.05336776730664,11926.31,1.551,193.48,14.389843523247812,-21651.924291726384,-21651.252551450987,-21651.226836691196,-21653.50802160439,91.17,-214.68423003923817,-216.1702438300308,-217.5840386023192,-197.98076563066934,19_6961
0.68518,0.06264,0.06,-36828.54194556405,0.3181011026248531,-6.247462117334475,178.65807524570087,18121.4287,2.1071,231.97,14.310984926549198,-36814.230954106766,-36813.51020612514,-36813.48449136534,-36815.99060559541,95.21,-217.27559753825335,-218.75113494019024,-220.19069889545062,-200.4103070132769,19_7066
0.84067,0.06108,0.05935,-36828.40523066261,0.12190700938916524,-6.243652523291064,173.21569770485246,18390.2105,0.8422,233.62,14.30595082013469,-36814.0992782098,-36813.375917935104,-36813.3502303867,-36815.87288913947,95.275,-217.14392164128367,-218.61684675015567,-220.05643791680632,-200.29259055733564,19_7086
0.48634,0.13539,0.12436,-21665.672423201308,1.9028922246840014,-4.87410346468466,184.41144578888347,9594.4385,1.1769,195.63,14.375965716375385,-21651.296470628033,-21650.61585944079,-21650.590171892385,-21652.864744438775,90.864,-214.0564089408872,-215.53355181983352,-216.94737380350853,-197.33748846505478,19_7204
0.34457,0.22743,0.16814,-21666.073845214192,1.9899686599619766,-5.048528449100854,191.52726186610158,7410.8458,0.9413,195.02,14.298195575117745,-21651.775663135923,-21651.083106150214,-21651.057391390423,-21653.319365065083,93.237,-214.53560144877702,-216.00079852925774,-217.41459330154612,-197.79210909136236,19_7357
0.26442,0.19501,0.11784,-21327.78824339196,1.6226149486330188,-6.482024264864521,220.5384662267057,9333.2735,0.3322,209.29,14.305787551818542,-21313.48246035723,-21312.850312648497,-21312.82462510009,-21314.94754859217,87.497,-226.41538509097518,-227.94099144843494,-229.3547862207197,-209.5273730623885,20_1292
0.71429,0.06746,0.06354,-21360.165440544664,1.4789388304243598,-6.833595372299347,226.1955770310706,17097.9407,0.6999,211.34,14.78566034435826,-21345.379783111923,-21344.668368635703,-21344.642681087294,-21347.060031776156,94.511,-231.08646440452867,-232.6098666397229,-234.07509093159752,-213.83379259183494,20_172
0.29229,0.21632,0.13417,-21328.107526747674,0.568173740188788,-6.128004132687503,182.2122809866631,8377.6828,0.4105,210.6,14.303773909252739,-21313.80374519202,-21313.18776104659,-21313.16207349818,-21315.24630239933,86.698,-226.73666992576545,-228.27843984652645,-229.6922346188112,-209.82612686954963,20_2154
0.27374,0.23993,0.14494,-21327.92012323827,0.5186490176244397,-6.181610563155507,182.32334991606817,7986.3772,0.1077,208.96,14.295283956813135,-21313.62483032891,-21313.00114536123,-21312.975457812823,-21315.096095548477,86.998,-226.5577550626549,-228.09182416116892,-229.50561893345366,-209.67592001869707,20_2155
0.3356,0.20261,0.13326,-21328.114687179,-0.2761955681473275,-5.802283841975828,150.37252122387656,8302.906,0.2765,213.05,14.311637999813783,-21313.803037695983,-21313.18952978668,-21313.16384223827,-21315.2249414613,86.71,-226.7359624297278,-228.28020858661694,-229.69400335890168,-209.8047659315198,20_2156
0.27478,0.21867,0.13229,-21361.323977576987,0.7183805910432952,-6.3527701812487765,192.41581330134213,8544.2899,0.2897,210.54,14.946969440710706,-21346.37699877556,-21345.740742147536,-21345.71505459913,-21347.855366166878,88.471,-232.08368006816454,-233.68224015155647,-235.14746444343473,-214.62912698255604,20_2157
0.23844,0.21163,0.11793,-21327.710134251254,0.7390612444218143,-6.448282146194305,195.57757549173974,9337.2559,0.226,215.29,14.28159662964288,-21313.428554601516,-21312.79915524277,-21312.773467694366,-21314.88526172956,87.488,-226.3614793352608,-227.88983404270766,-229.30362881499605,-209.46508619977976,20_2158
0.28154,0.22524,0.13456,-22338.038194076085,0.29116183046072946,-6.43304377002066,182.97495430191123,8333.844,0.916,202.52,14.302059591933205,-22323.73613306916,-22323.112203199005,-22323.086488439214,-22325.20209206845,86.7,-224.01520478669772,-225.54902898273212,-226.96279654363752,-207.11701569973593,20_2175
0.33826,0.26174,0.16518,-21328.186983287367,1.5085992411909201,-6.8771335899383335,228.18741316506814,7036.0254,0.1542,203.19,14.383584904462209,-21313.80341865539,-21313.228768605324,-21313.20308105692,-21315.1558245408,83.692,-226.73634338913325,-228.3194474052616,-229.73324217754998,-209.73564901102145,20_2503
0.30648,0.19339,0.12854,-21797.465701167195,1.9374506849349478,-5.768269609445368,209.68332952618357,8748.537,0.8252,205.83,14.648079576619057,-21782.817616447624,-21782.20212210714,-21782.176434558733,-21784.24406451441,86.922,-226.66755300526347,-228.24834405358342,-229.6878535856631,-209.4376571226676,20_2505
0.26722,0.20409,0.12753,-21395.09894656712,1.6563570673032342,-7.924227724155986,260.7009910995788,8981.3154,0.0136,210.82,15.603634608250738,-21379.495323632553,-21378.854386646133,-21378.828699097725,-21380.965663664992,89.798,-237.97576148402004,-239.64670385423597,-241.16335766570046,-219.9333608261295,20_2506
0.27109,0.20918,0.12506,-21830.9380866197,1.724657646224396,-5.64908373865864,200.64972326790462,8932.8329,0.9713,207.69,15.292608465992219,-21815.645486970192,-21815.00778813871,-21814.982100590307,-21817.12045293826,89.254,-232.26918008669236,-233.90482928923666,-235.39576834090985,-214.50798189197667,20_2507
0.25289,0.20578,0.11978,-22266.68151075799,1.9741860560678437,-5.598198446793073,206.05507783228464,9244.5305,1.3884,205.57,14.97415361534905,-22251.707376571572,-22251.07000427672,-22251.04431672832,-22253.167702813953,88.723,-226.47432495310568,-228.07176936966425,-229.5369936615498,-208.97506356025406,20_2508
0.29022,0.18332,0.11999,-22371.881288050063,2.07323550119654,-6.735634382611623,239.70155884672698,9309.2448,0.9922,205.56,14.937527089760252,-22356.943765695083,-22356.30478792846,-22356.279100380056,-22358.41367034535,88.375,-229.99659397148207,-231.5924329162699,-233.0576572081518,-212.5225303220941,20_2509
0.32013,0.20412,0.1373,-22806.68559248014,1.6661531662720064,-6.153038607829921,212.7710457636445,8258.0843,2.1597,201.36,14.62971189105261,-22792.05586907867,-22791.433054875342,-22791.407340115547,-22793.495079285498,87.651,-223.25195262009947,-224.82542380557425,-226.2649061262673,-206.02377105482083,20_2510
0.27588,0.21186,0.13023,-23346.64977482724,0.8552538627458625,-6.73019210540675,206.41049840638084,8610.0587,1.7269,199.72,14.260943187650385,-23332.388851095733,-23331.758172801845,-23331.732485253437,-23333.84928618366,87.369,-220.01406979706007,-221.54114556936474,-222.95494034165313,-203.09930897601225,20_2511
0.2981,0.17977,0.12284,-29629.95134432842,1.0321278719042495,-6.116031122836781,194.51131376945108,9237.0971,1.2803,223.45,15.075760930764037,-29614.875586935137,-29614.215846880972,-29614.190132121188,-29616.378743899128,92.206,-230.71326024347218,-232.326868220709,-233.8178072725932,-212.94966744492922,20_2512
0.2488,0.19465,0.11423,-31160.298818307707,1.1143062576978386,-5.768541723305613,187.2918333581216,9656.4632,1.6,218.91,14.851729589625423,-31145.447069942227,-31144.791846978143,-31144.766132218352,-31146.95079834532,90.333,-228.01484315112975,-229.59443689584077,-231.0596611879264,-210.5479088883949,20_2513
0.28148,0.20665,0.12695,-23137.807997180047,1.7790804182731301,-5.980790534295677,211.15684398962418,8756.5334,2.7474,200.02,14.349489037773676,-23123.458495842726,-23122.83138224041,-23122.805667480614,-23124.92135274401,87.164,-214.51195475431814,-216.04259521819404,-217.45636277909216,-197.5683770754731,20_2515
0.28262,0.06139,0.05505,-90287.84149561156,0.14748571225207047,-6.673592422476067,185.61099022645823,18771.9463,1.9141,219.6,14.41057859939838,-90273.4308982363,-90272.72195999621,-90272.69624523642,-90275.18557004131,93.381,-224.25131798574876,-225.7386651318957,-227.17814745414944,-207.30082861166738,20_2564
0.44418,0.26425,0.20965,-21796.101903289447,0.43374949322841383,-4.777230930437913,141.79799987380517,6145.2602,1.3097,207.66,14.441028140359647,-21781.660887639115,-21780.97954174445,-21780.953854196043,-21783.053348684756,98.447,-225.51082419675367,-227.02576369089365,-228.46527322297334,-208.24694129301497,20_2646
0.98522,0.05385,0.05247,-21394.361139876437,0.8274982490010079,-6.474132962917454,198.68750551508168,20470.7259,0.5029,214.28,15.454380155907085,-21378.906768564233,-21378.19859224295,-21378.17290469454,-21380.618228688236,94.731,-237.38720641570035,-238.99090945105127,-240.50756326251576,-219.58592584937287,20_2865
0.37961,0.07137,0.06341,-32830.69313596709,0.10313115303235185,-6.789785040800115,187.56580338398743,16692.2706,1.6917,211.87,14.438878440863721,-32816.25425398875,-32815.55775135207,-32815.532063803665,-32817.96786381225,92.662,-224.47888680822507,-225.97866955772406,-227.41817909140445,-207.51871018259408,20_3079
1.07772,0.05327,0.05308,-22371.486260658476,1.093081376598832,-5.987593380801768,192.67497413662062,20185.2359,0.797,208.22,14.811048567518993,-22356.67521652641,-22355.978278507555,-22355.952590959147,-22358.3754111366,93.291,-229.72804480281047,-231.2659234953644,-232.73114778724266,-212.4842711133424,20_3146
1.23177,0.0546,0.05389,-21360.45046868381,0.6650462744355354,-6.656177135420471,199.22063637622603,19713.0947,0.5101,218.15,14.807320607633653,-21345.643162117252,-21344.947666301858,-21344.921951542066,-21347.36610544616,92.854,-231.3498434098583,-232.88916430587778,-234.35436138636942,-214.1398662618376,20_3460
0.755,0.05676,0.05497,-21360.221908742176,1.5085992411909201,-6.9919656389611635,231.3121523789974,19349.2983,0.5946,209.97,14.801143623006123,-21345.42076345928,-21344.723390058243,-21344.697675298452,-21347.11235927148,93.972,-231.12744475188447,-232.66488806226334,-234.13008514275498,-213.8861200871579,20_351
1.1358,0.05949,0.05838,-21360.059977920075,1.5921381962857275,-6.952509129225831,232.51169681657217,18161.5096,0.8933,209.24,14.82100793480391,-21345.238964189248,-21344.544665674835,-21344.51897812643,-21346.956846200355,93.308,-230.94564548185372,-232.48616367885552,-233.95138797073378,-213.7306070160339,20_353
0.34338,0.05942,0.0548,-90287.79381799787,0.07292651454530422,-6.748151620182832,185.6109902264582,19030.6348,2.3239,217.79,14.441191408675792,-90273.35263829009,-90272.65591796233,-90272.63023041392,-90275.10042561444,92.253,-224.17305803953786,-225.672623098013,-227.11213263164973,-207.21568418479,20_3747
0.33117,0.30653,0.2262,-31513.04765384975,1.4285977662792801,-4.821585489657632,170.07614930033583,6091.6291,1.0318,210.67,14.209704147766502,-31498.837938817425,-31498.097897963107,-31498.072210414703,-31500.316115729045,103.163,-218.30826963961226,-219.76451417147473,-221.20405091515204,-201.06180202107498,20_4647
0.27596,0.1278,0.09566,-22029.389007258298,0.690352863438197,-6.874140337475653,205.8403445687682,11912.3165,1.3832,208.43,14.987024600938577,-22014.40199479364,-22013.65735521508,-22013.631667666672,-22016.125400716104,97.642,-232.81226492576025,-234.34097338861102,-235.8319396518782,-215.3155614029747,20_5317
1.01866,0.05644,0.05526,-22807.6803272545,1.1872327722431428,-5.2885328738357735,176.21455879878934,19176.7666,0.6074,208.98,14.49719244111394,-22793.183127956116,-22792.488121945666,-22792.46243439726,-22794.858260879773,93.199,-224.37921149754402,-225.88049087589752,-227.32000040798084,-207.3869526490962,20_5548
0.59657,0.055,0.05252,-30607.68863144401,-0.2419092217566248,-6.752777555806975,177.1697515916729,20145.9296,3.4944,217.95,14.285651126160511,-30593.402987664922,-30592.672144259082,-30592.646429499287,-30595.154693428856,96.679,-223.81305139818141,-225.27849337852604,-226.71800291081308,-206.86677979026717,20_5550
0.64244,0.04703,0.04546,-33839.760962599015,-1.8816673435849949,-7.1263898859215375,142.71616969022045,22701.0669,1.9824,210.36,14.395176954908587,-33825.36578319508,-33824.65491294658,-33824.62922539817,-33827.10733911202,93.592,-220.93656299833674,-222.4219781360298,-223.86148766969563,-203.99328464343125,20_5573
0.54889,0.05946,0.05601,-22807.57342433125,1.4283256524190366,-4.8904302962992805,171.942107314341,18873.3906,1.6476,204.94,14.494498513897529,-22793.07890834764,-22792.37418787238,-22792.34847311259,-22794.78936165036,93.805,-224.2749918890695,-225.7665568026132,-227.2060391233099,-207.31805341968357,20_5574
0.57244,0.05837,0.05449,-22807.62991778093,1.6076486863196167,-4.83627963811079,175.3482211494298,19272.7964,1.2476,205.74,14.495015530231992,-22793.13488216869,-22792.430324961748,-22792.404637413343,-22794.84509056894,93.812,-224.33096571011993,-225.82269389197972,-227.26220342406305,-207.37378233826166,20_5575
1.00584,0.04358,0.04231,-21796.670315074844,1.9143210068142356,-5.454522328584414,200.51644055261852,24519.4922,1.4598,212.89,14.478144470896884,-21782.192162739855,-21781.464938448353,-21781.439250899944,-21783.934072404816,94.147,-226.04209929749413,-227.5111603947953,-228.95066992687498,-209.12766501307487,20_5581
0.84342,0.03575,0.03455,-29595.677757084515,0.2900733750197548,-6.322021315041242,179.92426104091868,29372.2367,1.7672,230.21,14.248861332255565,-29581.428902282987,-29580.687718550456,-29580.662003790665,-29583.23173824126,95.231,-224.49281903246083,-225.9479206861106,-227.38743021840492,-207.60872544160156,20_5582
0.2895,0.04315,0.03905,-90756.90604453615,-1.2745813213813617,-6.561481512055674,143.8638819607395,25583.4877,2.4125,220.92,14.762421820693449,-90742.14362108277,-90741.4291861427,-90741.40349859429,-90743.9107012798,93.587,-223.8810526560992,-225.40143442488625,-226.86665871831065,-206.63972798819304,20_5587
0.30801,0.07652,0.06369,-23492.724703872755,1.3491405190881278,-6.8248877287715475,222.42663802659186,16598.1876,2.8039,201.97,14.815973828389403,-23477.908731187243,-23477.207520980784,-23477.181833432376,-23479.631837784465,92.393,-224.5973379679126,-226.13094447286858,-227.5961687647432,-207.36689785760245,20_5588
0.89604,0.03443,0.03376,-91296.9209651792,-2.2580008123019937,-6.935093842170235,127.27018390762211,28698.4677,2.125,218.07,14.410660233556454,-91282.51031800712,-91281.79835930318,-91281.77267175476,-91284.28248673334,92.913,-220.67688474035822,-222.1612114226591,-223.6007209562813,-203.73284446475736,20_5589
0.50062,0.05101,0.04772,-33839.57131175566,-1.9080623880286312,-7.195778920283674,143.8860957466205,21569.8088,2.4254,209.61,14.428646959718561,-33825.14264982968,-33824.43923550095,-33824.41354795254,-33826.87598790804,92.502,-220.71342963293864,-222.20630069039908,-223.6458102240722,-203.7619334394476,20_5590
0.52164,0.032,0.03117,-100087.00761752861,-2.1230323376211326,-6.247462117334475,112.2314508661757,31441.8353,2.8623,230.38,14.348536639262822,-100072.65906755577,-100071.93072759744,-100071.90504004904,-100074.48848903818,94.325,-220.34057922150532,-221.8085246467963,-223.2480613920343,-203.42709733593802,20_5591
1.25354,0.04093,0.04063,-22735.079737847216,1.936362229493973,-5.245538883917273,195.42948358586634,25936.0062,1.9503,209.45,15.166456480383253,-22719.91328735334,-22719.191015534096,-22719.16532798569,-22721.649673106942,94.386,-225.59724755876596,-227.14832377354105,-228.63926282521788,-208.07080199128177,20_5592
0.65344,0.06467,0.06138,-24254.325505141216,1.8054754627167668,-6.652911769097548,230.1644401084784,17299.9756,2.176,193.51,14.196996430493122,-24240.128525010343,-24239.436403406813,-24239.410715858405,-24241.801834771137,93.138,-216.81401080059368,-218.27964326325673,-219.69343803554148,-200.0854574941077,20_5619
0.95945,0.03956,0.03886,-37929.38791701206,0.2829984146534193,-4.990568196868953,143.50105679134958,27198.5135,1.4259,251.08,15.571144213337643,-37913.81677715255,-37912.99921105945,-37912.97352351104,-37915.66111047451,108.023,-232.559199035466,-234.13057493900124,-235.6987126932072,-214.22313309589663,20_5622
0.31515,0.12106,0.10167,-23277.25387402559,1.7722775717670385,-6.284741716187859,219.2426620503132,11404.3222,1.4616,199.92,14.82261340657935,-23262.431262034002,-23261.723303403807,-23261.6976158554,-23264.13344307537,94.739,-224.54435739932524,-226.0712154805442,-227.53643977241882,-207.27590298273572,20_5631
0.66593,0.07052,0.06918,-23275.392717971718,2.166842669120364,-5.9802463065751885,221.6935830925184,16005.5582,0.6634,204.16,14.784952848321623,-23260.607772633735,-23259.89605883227,-23259.870371283865,-23262.311722415197,94.389,-222.7208679990581,-224.24397090900675,-225.709195200885,-205.4541823225627,20_5632
0.40027,0.08652,0.08043,-23816.62291018966,2.102623798102857,-6.257530330163491,227.49138120746304,14093.2919,1.8468,199.42,14.442279864116768,-23802.180641455,-23801.47458762183,-23801.44890007342,-23803.859039744984,94.136,-220.7228719802224,-222.21310353585068,-223.652613067934,-203.72283067537137,20_5663
0.47804,0.06813,0.06566,-41100.265706919876,-0.5417786957451518,-6.442023527408701,160.55383975267458,17023.7138,3.0018,226.79,14.610799977765675,-41085.654899595036,-41084.91483152933,-41084.88914398092,-41087.424211125726,97.117,-224.01052443023218,-225.50527307070297,-226.97052457575046,-206.7722202261939,20_5679
0.5855,0.07631,0.07122,-23277.150810628907,1.7344537451931683,-6.0624246923687775,212.16386894956344,15374.6875,2.3197,202.11,14.815347966510844,-23262.33545074381,-23261.620063405233,-23261.594375856825,-23264.033277963415,95.059,-224.4485461091317,-225.96797548196992,-227.43319977384454,-207.17573787078072,20_5698
0.36912,0.11417,0.10106,-23275.50644175541,2.013642565803176,-6.1198407168801925,221.3233533278348,11534.975,0.4507,203.42,14.777034334988535,-23260.729407529267,-23260.01665969513,-23259.990972146723,-23262.43798324635,94.309,-222.84250289458942,-224.3645717718682,-225.82979606374283,-205.58044315371444,20_5699
0.3687,0.09303,0.08182,-22029.53458915314,0.7714427937908114,-7.088566059347667,213.8817350576952,13851.1299,1.6293,208.27,15.013201954294018,-22014.52139835551,-22013.78630997345,-22013.76062242504,-22016.277512363984,96.319,-232.93166848762849,-234.46992814698024,-235.96089441024742,-215.4676730508545,20_5706
